Company,Job,Degree,Experience_Level,Years_Experience,Salary_more_than_100k,Salary_K,Employment_Type,Location,Remote_Status,Age,Performance_Rating,Bonus_Percentage,Education_Year,Gender
Nvidia,devops engineer,master,senior,8,1,157,contract,Singapore,onsite,28,3.0,8.2,2023,Non-binary
Snapchat,database admin,master,senior,9,1,145,full-time,Australia,remote,33,2.8,10.9,2013,Non-binary
LinkedIn,database admin,bachelors,lead,13,1,211,part-time,Australia,onsite,33,4.8,13.5,2018,Non-binary
Amazon,backend developer,master,senior,12,0,97,part-time,UK,onsite,36,3.3,4.1,2018,Non-binary
Tesla,financial analyst,phd,lead,15,0,79,part-time,Australia,hybrid,39,3.9,0.0,2015,Female
Zoom,systems analyst,phd,senior,12,1,154,contract,Canada,onsite,39,2.9,2.1,2016,Non-binary
Dropbox,mobile developer,bachelors,senior,8,0,41,full-time,France,remote,28,5.0,6.1,2012,Male
AMD,ML engineer,phd,mid,6,0,65,part-time,Germany,remote,29,4.1,0.1,2023,Prefer not to say
Netflix,game developer,phd,lead,14,1,216,full-time,Australia,hybrid,36,4.2,24.7,2014,Prefer not to say
Dropbox,network engineer,master,mid,6,0,56,part-time,India,onsite,29,3.2,7.8,2017,Female
Qualcomm,product manager,phd,senior,9,1,238,full-time,Canada,remote,30,2.9,9.6,2022,Female
AMD,financial analyst,master,lead,19,1,199,contract,Australia,onsite,39,3.5,0.1,2013,Non-binary
Shopify,IT support,master,mid,6,1,224,contract,France,hybrid,26,3.3,17.0,2018,Female
ServiceNow,business manager,phd,entry,2,0,41,contract,India,onsite,23,3.6,8.7,2023,Male
Intel,QA engineer,bachelors,lead,19,1,171,contract,Singapore,hybrid,45,4.6,11.8,2001,Male
Nvidia,ML engineer,bachelors,entry,0,0,93,full-time,France,onsite,21,2.9,1.3,2024,Female
Stripe,security analyst,master,mid,3,0,89,part-time,Australia,hybrid,25,2.8,0.3,2022,Prefer not to say
Stripe,devops engineer,bachelors,mid,5,0,94,full-time,Canada,onsite,26,4.5,3.5,2018,Non-binary
Uber,ML engineer,master,entry,0,0,67,contract,UK,onsite,25,4.7,4.6,2024,Prefer not to say
Square,database admin,phd,senior,11,0,89,part-time,Germany,hybrid,38,3.6,7.3,2020,Non-binary
Dropbox,product manager,master,lead,19,1,186,full-time,India,hybrid,39,4.6,4.5,2018,Non-binary
Oracle,security analyst,phd,senior,8,1,121,part-time,France,onsite,31,3.5,13.9,2021,Prefer not to say
Qualcomm,game developer,bachelors,entry,2,0,55,contract,Australia,onsite,26,4.0,4.7,2020,Non-binary
Square,network engineer,master,senior,9,0,56,part-time,Germany,remote,32,4.3,3.2,2013,Female
Tesla,fullstack developer,master,senior,11,1,172,part-time,UK,remote,32,3.2,9.0,2020,Male
Adobe,data scientist,bachelors,senior,12,0,95,part-time,France,remote,39,4.7,5.7,2009,Prefer not to say
Oracle,marketing manager,bachelors,senior,7,1,202,contract,India,remote,34,3.9,17.2,2022,Female
Amazon,cloud architect,bachelors,lead,16,1,233,part-time,India,hybrid,42,4.8,7.4,2006,Prefer not to say
Twitter,AI researcher,bachelors,entry,1,0,82,full-time,Australia,remote,22,3.1,5.5,2023,Male
Qualcomm,frontend developer,phd,lead,17,1,172,contract,Australia,remote,44,4.2,23.1,2006,Female
Apple,network engineer,bachelors,mid,3,0,43,contract,Canada,hybrid,25,4.0,8.2,2020,Prefer not to say
Qualcomm,frontend developer,master,lead,20,1,212,contract,USA,onsite,41,2.6,10.8,2014,Non-binary
Amazon,cloud architect,phd,entry,2,0,42,part-time,Australia,hybrid,24,3.8,4.4,2022,Female
Snapchat,IT support,master,entry,1,0,60,contract,USA,remote,22,3.3,6.9,2022,Prefer not to say
Qualcomm,product manager,master,senior,10,1,231,contract,Singapore,onsite,30,4.7,11.5,2024,Female
LinkedIn,mobile developer,master,lead,15,1,173,full-time,India,onsite,42,3.7,0.7,2017,Female
Airbnb,software engineer,phd,lead,14,1,218,full-time,Australia,onsite,35,4.6,12.5,2015,Non-binary
Dropbox,project manager,master,mid,6,1,148,contract,India,remote,28,3.2,19.8,2018,Non-binary
Dropbox,software engineer,master,senior,12,0,71,part-time,France,hybrid,34,3.8,3.5,2016,Prefer not to say
ServiceNow,QA engineer,bachelors,mid,6,0,42,part-time,UK,onsite,31,3.7,9.1,2018,Prefer not to say
Spotify,data scientist,bachelors,senior,10,0,46,full-time,Canada,remote,37,4.3,4.1,2014,Female
Spotify,game developer,master,senior,12,0,45,part-time,USA,onsite,37,4.6,3.8,2019,Prefer not to say
LinkedIn,product manager,bachelors,senior,10,0,46,full-time,Singapore,hybrid,31,2.9,3.0,2024,Male
Zoom,data scientist,master,senior,8,1,235,contract,Australia,onsite,34,4.2,4.5,2022,Male
LinkedIn,backend developer,bachelors,lead,20,1,165,part-time,UK,hybrid,47,4.2,22.5,2010,Non-binary
Amazon,operations manager,master,senior,12,0,56,part-time,Germany,hybrid,39,3.0,3.8,2017,Male
Intel,systems analyst,master,senior,12,1,201,part-time,France,remote,36,3.9,17.1,2013,Male
Dropbox,UX designer,bachelors,senior,11,0,56,full-time,France,onsite,33,2.7,6.3,2023,Non-binary
Microsoft,systems analyst,master,mid,5,0,87,full-time,UK,remote,31,3.0,7.9,2019,Non-binary
Adobe,IT support,master,senior,7,0,69,part-time,Canada,remote,28,4.4,2.3,2018,Non-binary
Zoom,HR manager,bachelors,senior,9,0,83,part-time,Germany,onsite,33,3.5,6.4,2019,Male
Spotify,software engineer,phd,senior,7,1,218,part-time,France,onsite,31,3.5,3.5,2024,Non-binary
Apple,sales executive,bachelors,mid,6,1,250,contract,India,hybrid,28,4.1,20.8,2015,Prefer not to say
Microsoft,frontend developer,master,mid,4,1,192,contract,USA,onsite,25,3.4,22.5,2019,Non-binary
Intel,security analyst,bachelors,entry,0,1,105,contract,Canada,hybrid,21,3.1,3.1,2020,Female
Dropbox,mobile developer,phd,mid,4,0,61,part-time,India,onsite,26,2.5,8.6,2023,Female
Zoom,marketing manager,bachelors,entry,0,1,250,full-time,Canada,remote,25,2.9,1.3,2021,Male
Spotify,operations manager,master,entry,2,0,42,contract,Australia,hybrid,26,4.1,0.3,2021,Prefer not to say
Pinterest,sales executive,master,lead,18,0,78,full-time,Australia,remote,40,2.8,6.2,2006,Non-binary
LinkedIn,database admin,master,lead,14,0,90,part-time,France,onsite,35,4.1,7.7,2018,Prefer not to say
Atlassian,cloud architect,master,senior,12,1,124,contract,Canada,hybrid,37,3.3,6.4,2022,Prefer not to say
Amazon,IT support,bachelors,entry,2,1,195,contract,Canada,onsite,24,2.6,23.9,2020,Non-binary
AMD,technical writer,phd,lead,17,1,179,part-time,Canada,remote,42,3.9,5.3,2009,Female
IBM,consultant,phd,senior,11,0,54,full-time,India,onsite,37,4.9,8.2,2015,Male
Google,marketing manager,master,senior,8,1,136,contract,Germany,remote,34,2.9,15.8,2024,Male
Intel,financial analyst,master,senior,12,1,183,full-time,India,remote,33,2.9,18.9,2024,Male
Qualcomm,backend developer,master,lead,17,0,53,part-time,India,hybrid,38,3.6,2.8,2006,Prefer not to say
Microsoft,cloud architect,master,entry,0,1,135,full-time,UK,hybrid,24,3.3,0.2,2022,Prefer not to say
Meta,HR manager,phd,mid,5,0,44,part-time,Australia,onsite,31,2.6,0.2,2024,Non-binary
Twitter,HR manager,phd,lead,13,1,183,contract,Australia,onsite,35,3.7,17.2,2019,Male
Shopify,sales executive,bachelors,lead,14,0,65,part-time,Canada,onsite,38,3.3,3.3,2019,Male
Uber,database admin,bachelors,senior,12,0,92,contract,Canada,remote,34,2.8,2.6,2019,Female
Netflix,mobile developer,phd,lead,20,1,244,contract,India,onsite,45,3.3,11.0,2009,Prefer not to say
Zoom,security analyst,phd,entry,1,0,69,contract,Australia,remote,28,2.6,8.3,2024,Male
Qualcomm,systems analyst,phd,entry,2,0,81,contract,Canada,hybrid,25,4.0,5.0,2024,Prefer not to say
Zoom,IT support,master,entry,0,0,55,part-time,India,hybrid,27,3.8,6.1,2023,Non-binary
Intel,financial analyst,master,entry,0,0,61,part-time,Singapore,onsite,21,4.2,2.8,2022,Female
Amazon,systems analyst,phd,mid,6,1,133,contract,Canada,hybrid,27,3.9,16.1,2019,Female
Snapchat,backend developer,master,senior,8,1,154,full-time,India,hybrid,33,3.0,25.0,2022,Male
Shopify,game developer,bachelors,entry,2,0,48,part-time,France,remote,28,2.9,8.3,2018,Female
Microsoft,financial analyst,master,mid,6,0,54,contract,France,hybrid,29,4.9,7.8,2021,Non-binary
Qualcomm,mobile developer,master,lead,15,0,92,part-time,Canada,onsite,38,2.8,2.5,2009,Non-binary
Stripe,consultant,phd,entry,0,1,169,contract,Singapore,onsite,27,2.9,10.9,2024,Prefer not to say
ServiceNow,software engineer,master,entry,0,1,198,contract,UK,hybrid,21,3.1,8.0,2024,Non-binary
Meta,data scientist,master,lead,20,0,68,part-time,Canada,remote,40,2.5,2.2,2020,Prefer not to say
PayPal,UX designer,bachelors,senior,10,1,217,full-time,Germany,remote,31,4.6,12.5,2016,Male
Stripe,business manager,master,lead,16,0,76,full-time,USA,remote,42,4.2,0.9,2013,Male
Intel,consultant,master,entry,1,0,56,part-time,UK,hybrid,21,4.5,3.4,2024,Non-binary
Microsoft,technical writer,phd,senior,12,1,218,part-time,USA,onsite,39,3.0,3.4,2013,Prefer not to say
Salesforce,devops engineer,bachelors,mid,5,1,231,full-time,Singapore,onsite,31,3.7,0.9,2021,Non-binary
Shopify,mobile developer,bachelors,senior,9,1,211,contract,France,onsite,35,3.6,23.9,2019,Female
Stripe,project manager,master,senior,7,0,67,full-time,India,onsite,29,3.2,1.0,2019,Non-binary
Qualcomm,AI researcher,phd,lead,18,1,214,full-time,USA,onsite,38,4.7,8.8,2011,Non-binary
Amazon,backend developer,phd,lead,15,1,107,contract,Germany,onsite,37,4.2,11.0,2020,Male
PayPal,ML engineer,master,senior,7,0,78,contract,UK,onsite,29,3.6,3.7,2017,Male
Uber,technical writer,master,senior,7,0,41,part-time,India,hybrid,29,3.8,9.1,2023,Non-binary
Stripe,operations manager,bachelors,senior,10,0,52,part-time,Canada,remote,31,4.6,4.5,2010,Prefer not to say
Zoom,backend developer,master,senior,11,1,174,part-time,Singapore,remote,35,4.3,23.2,2014,Female
Uber,cloud architect,bachelors,mid,6,1,106,full-time,Canada,onsite,31,3.9,11.7,2016,Female
Amazon,UX designer,master,lead,19,1,247,part-time,Singapore,remote,40,4.9,16.1,2010,Prefer not to say
Meta,IT support,phd,mid,3,1,131,full-time,India,hybrid,25,2.9,8.1,2023,Non-binary
Shopify,product manager,master,mid,5,0,48,part-time,UK,onsite,29,3.8,5.0,2022,Female
Pinterest,AI researcher,phd,senior,7,1,120,part-time,USA,onsite,27,4.4,6.6,2021,Prefer not to say
Spotify,ML engineer,phd,senior,10,0,55,part-time,Australia,hybrid,36,3.6,6.9,2022,Prefer not to say
Spotify,operations manager,bachelors,senior,12,1,181,part-time,Germany,hybrid,37,2.8,9.3,2021,Non-binary
Qualcomm,sales executive,master,lead,13,1,174,full-time,Singapore,onsite,39,3.5,24.1,2019,Non-binary
Tesla,mobile developer,bachelors,lead,17,0,71,part-time,Singapore,remote,37,4.9,5.1,2017,Female
Microsoft,data scientist,master,lead,20,0,58,part-time,Singapore,remote,40,3.6,8.8,2013,Prefer not to say
Microsoft,HR manager,bachelors,mid,3,0,64,contract,Canada,onsite,30,3.2,9.9,2023,Female
Intel,technical writer,master,senior,11,1,202,full-time,France,remote,31,2.6,17.8,2012,Prefer not to say
Meta,AI researcher,phd,mid,5,1,141,contract,India,onsite,31,4.3,7.5,2022,Prefer not to say
Spotify,IT support,bachelors,senior,10,0,77,contract,India,onsite,34,4.7,6.3,2015,Prefer not to say
Snapchat,game developer,phd,mid,6,1,143,part-time,USA,remote,32,4.6,6.1,2023,Female
Qualcomm,QA engineer,master,mid,6,0,72,contract,Singapore,onsite,33,4.3,7.1,2016,Female
Pinterest,project manager,phd,lead,20,0,98,contract,France,onsite,45,3.4,7.7,2003,Non-binary
Tesla,cloud architect,master,senior,9,0,89,full-time,Singapore,onsite,33,3.0,7.0,2019,Prefer not to say
Airbnb,game developer,phd,senior,12,1,239,contract,India,hybrid,38,4.5,23.9,2012,Female
Microsoft,UX designer,phd,entry,2,0,56,contract,Canada,remote,29,3.0,5.4,2022,Female
LinkedIn,fullstack developer,phd,mid,4,1,159,full-time,USA,remote,24,3.5,17.9,2024,Female
Airbnb,marketing manager,master,lead,17,0,60,contract,USA,onsite,41,2.6,7.7,2006,Female
ServiceNow,marketing manager,master,mid,6,0,90,full-time,USA,remote,33,4.8,9.6,2020,Male
Salesforce,systems analyst,phd,entry,2,1,239,contract,Singapore,remote,29,4.6,11.7,2023,Male
Netflix,fullstack developer,master,senior,12,1,186,part-time,Australia,onsite,36,4.2,4.8,2015,Prefer not to say
Uber,QA engineer,bachelors,lead,15,1,222,part-time,Singapore,remote,40,2.5,9.6,2010,Non-binary
Salesforce,systems analyst,phd,entry,2,1,160,contract,Canada,onsite,22,2.8,7.7,2021,Non-binary
Snapchat,UX designer,master,mid,6,0,49,full-time,Germany,onsite,33,5.0,3.7,2016,Prefer not to say
PayPal,cloud architect,phd,entry,2,0,63,part-time,UK,onsite,23,2.8,8.3,2023,Female
Oracle,consultant,phd,lead,20,1,123,full-time,France,remote,47,3.6,12.8,2010,Male
Pinterest,game developer,master,entry,0,1,155,contract,Canada,remote,21,3.6,17.5,2022,Male
ServiceNow,project manager,bachelors,senior,8,1,207,contract,Canada,hybrid,33,3.6,22.9,2018,Prefer not to say
Pinterest,backend developer,phd,mid,3,0,51,part-time,India,onsite,29,2.8,9.8,2024,Male
Qualcomm,backend developer,phd,lead,16,1,163,part-time,Australia,hybrid,43,2.9,4.7,2021,Male
LinkedIn,mobile developer,bachelors,mid,3,1,214,full-time,USA,remote,23,4.4,10.1,2021,Female
Meta,database admin,master,mid,5,0,55,part-time,India,remote,29,5.0,5.2,2018,Non-binary
Microsoft,network engineer,phd,mid,6,0,43,part-time,Australia,onsite,31,4.2,7.9,2019,Prefer not to say
Meta,UX designer,master,mid,4,0,59,part-time,Australia,hybrid,26,4.8,5.6,2021,Female
Nvidia,security analyst,bachelors,senior,10,1,194,part-time,USA,onsite,31,4.3,4.8,2020,Prefer not to say
Shopify,product manager,bachelors,mid,5,1,177,contract,Germany,remote,25,4.8,24.1,2023,Prefer not to say
Stripe,AI researcher,phd,mid,5,0,89,contract,Singapore,hybrid,29,3.7,6.5,2022,Non-binary
Uber,project manager,master,entry,1,0,98,part-time,USA,hybrid,24,3.3,0.5,2023,Female
Adobe,network engineer,phd,lead,18,1,158,contract,France,onsite,44,4.6,12.5,2014,Non-binary
Square,ML engineer,phd,lead,18,1,143,contract,USA,onsite,40,3.9,4.6,2007,Male
Dropbox,consultant,bachelors,entry,2,0,54,full-time,USA,onsite,23,2.9,2.2,2021,Non-binary
LinkedIn,ML engineer,phd,lead,13,1,236,part-time,USA,remote,39,2.5,18.1,2016,Non-binary
Uber,IT support,phd,lead,14,1,234,full-time,Australia,remote,36,3.0,13.2,2013,Non-binary
Amazon,technical writer,master,lead,16,1,176,part-time,Australia,onsite,37,5.0,16.2,2023,Male
Intel,HR manager,phd,lead,15,1,121,full-time,Germany,hybrid,42,4.1,8.3,2021,Male
Tesla,consultant,phd,lead,14,1,171,contract,Australia,remote,34,4.8,7.9,2018,Female
ServiceNow,product manager,master,mid,6,1,238,part-time,USA,hybrid,31,4.4,3.5,2023,Non-binary
Apple,financial analyst,bachelors,entry,2,0,78,contract,Germany,hybrid,28,2.6,2.7,2021,Prefer not to say
IBM,network engineer,master,lead,19,0,45,full-time,UK,remote,43,4.3,0.8,2020,Prefer not to say
Square,HR manager,master,senior,9,1,213,full-time,Australia,hybrid,34,2.8,2.2,2018,Prefer not to say
Apple,software engineer,bachelors,senior,11,1,183,part-time,UK,remote,37,3.2,9.7,2022,Female
Pinterest,HR manager,bachelors,mid,6,0,49,contract,Singapore,remote,27,3.6,4.2,2017,Male
Adobe,cloud architect,phd,lead,20,1,127,part-time,Singapore,hybrid,42,2.5,9.9,2005,Prefer not to say
Qualcomm,QA engineer,master,mid,4,1,222,contract,Germany,remote,29,4.9,24.2,2022,Prefer not to say
Oracle,HR manager,master,lead,16,1,239,contract,France,onsite,38,4.4,0.7,2010,Female
Zoom,UX designer,phd,entry,0,0,80,contract,Canada,remote,24,3.1,1.5,2023,Prefer not to say
Qualcomm,AI researcher,master,lead,19,1,239,part-time,Canada,hybrid,39,4.3,20.3,2005,Male
PayPal,cloud architect,phd,senior,7,1,244,full-time,India,hybrid,33,4.9,10.8,2024,Male
Nvidia,database admin,phd,mid,6,1,250,contract,Canada,hybrid,28,5.0,12.1,2020,Prefer not to say
Apple,IT support,phd,mid,6,1,152,contract,Canada,hybrid,33,3.7,11.0,2017,Non-binary
Salesforce,data scientist,phd,entry,2,0,46,full-time,Australia,onsite,24,3.1,1.7,2023,Non-binary
Qualcomm,cloud architect,master,mid,6,1,201,full-time,USA,onsite,26,4.0,4.9,2018,Prefer not to say
Stripe,devops engineer,bachelors,senior,7,0,76,part-time,India,onsite,28,3.0,3.3,2017,Male
Pinterest,consultant,master,senior,10,0,77,part-time,Canada,hybrid,31,3.4,4.6,2022,Non-binary
Pinterest,business manager,master,entry,0,0,63,full-time,Australia,onsite,22,3.5,6.0,2022,Prefer not to say
Netflix,project manager,phd,mid,5,1,135,part-time,USA,hybrid,27,4.6,15.5,2018,Non-binary
Spotify,business manager,bachelors,lead,20,0,66,part-time,USA,hybrid,47,4.3,4.4,2019,Male
Zoom,mobile developer,bachelors,senior,11,1,173,full-time,Canada,hybrid,33,3.9,19.3,2009,Male
Adobe,mobile developer,phd,senior,7,0,88,part-time,USA,onsite,34,3.0,4.3,2021,Non-binary
Qualcomm,security analyst,master,entry,0,0,89,contract,UK,remote,23,4.5,5.9,2023,Prefer not to say
LinkedIn,business manager,bachelors,mid,5,0,78,full-time,Canada,hybrid,27,4.9,2.9,2015,Non-binary
Meta,mobile developer,master,entry,0,0,84,contract,France,remote,22,2.9,3.2,2024,Prefer not to say
Meta,systems analyst,phd,senior,10,1,119,part-time,France,hybrid,31,3.8,7.0,2019,Prefer not to say
Oracle,systems analyst,bachelors,entry,2,0,82,part-time,France,remote,27,4.5,4.0,2021,Female
Adobe,QA engineer,master,senior,11,0,94,part-time,France,hybrid,38,4.7,7.6,2024,Male
Google,sales executive,bachelors,lead,19,1,151,contract,Singapore,onsite,41,3.3,21.9,2016,Male
Adobe,product manager,master,mid,5,1,159,full-time,Canada,onsite,31,2.7,2.4,2021,Prefer not to say
Meta,systems analyst,bachelors,lead,18,1,130,full-time,Canada,onsite,44,2.8,1.8,2012,Male
Apple,QA engineer,master,senior,8,1,136,full-time,Singapore,onsite,29,3.9,15.3,2022,Prefer not to say
Square,devops engineer,phd,mid,6,1,155,contract,Australia,remote,27,2.9,3.1,2018,Non-binary
Oracle,game developer,bachelors,mid,4,0,75,contract,Germany,onsite,28,2.6,8.5,2020,Female
Square,HR manager,master,entry,0,0,55,full-time,Singapore,onsite,27,4.0,5.3,2024,Non-binary
Meta,HR manager,phd,lead,15,1,220,contract,USA,remote,36,4.0,0.3,2018,Male
Zoom,HR manager,phd,senior,10,0,67,part-time,Canada,remote,36,4.1,5.4,2022,Non-binary
Salesforce,product manager,phd,mid,6,1,250,full-time,Germany,hybrid,27,4.2,18.2,2021,Male
Amazon,financial analyst,bachelors,lead,17,0,82,part-time,France,remote,39,2.5,1.4,2024,Female
IBM,database admin,phd,senior,12,1,168,full-time,India,remote,33,3.3,10.7,2016,Male
Stripe,systems analyst,phd,entry,1,1,114,contract,Germany,onsite,28,2.9,3.9,2024,Male
Square,database admin,bachelors,entry,1,0,63,full-time,Germany,remote,27,2.9,9.6,2024,Prefer not to say
Oracle,cloud architect,master,senior,11,1,195,contract,Australia,onsite,32,4.2,1.3,2021,Male
Amazon,operations manager,master,senior,10,1,102,contract,France,remote,35,3.2,19.6,2013,Female
IBM,systems analyst,master,mid,4,0,49,part-time,Singapore,hybrid,24,2.6,5.4,2019,Male
Google,mobile developer,phd,lead,14,0,53,part-time,Canada,hybrid,37,3.7,0.6,2020,Non-binary
Microsoft,cloud architect,phd,lead,20,1,121,part-time,Australia,onsite,41,2.8,20.5,2022,Male
Pinterest,business manager,bachelors,senior,10,0,84,contract,Canada,hybrid,35,3.6,2.3,2021,Female
Meta,sales executive,bachelors,lead,14,1,237,contract,UK,remote,39,3.6,11.6,2021,Male
Zoom,backend developer,master,entry,1,0,49,full-time,India,onsite,22,3.1,3.6,2024,Non-binary
Dropbox,marketing manager,bachelors,lead,16,0,46,contract,Germany,remote,43,4.5,1.4,2024,Male
Meta,devops engineer,master,senior,12,1,121,part-time,UK,remote,36,2.6,1.6,2010,Prefer not to say
Amazon,consultant,master,entry,0,0,50,full-time,UK,onsite,26,3.5,0.3,2022,Prefer not to say
IBM,devops engineer,bachelors,senior,8,1,108,contract,USA,onsite,31,3.2,10.3,2016,Prefer not to say
Amazon,security analyst,master,mid,4,1,239,contract,Singapore,hybrid,24,4.5,9.0,2020,Prefer not to say
ServiceNow,systems analyst,phd,senior,7,1,181,contract,Singapore,remote,30,4.7,19.5,2024,Prefer not to say
PayPal,systems analyst,bachelors,mid,4,1,168,full-time,UK,remote,24,3.9,24.6,2018,Non-binary
Netflix,cloud architect,phd,senior,11,1,107,part-time,India,onsite,36,3.9,14.1,2021,Prefer not to say
Netflix,project manager,bachelors,entry,0,1,105,full-time,UK,remote,27,3.3,15.4,2023,Non-binary
ServiceNow,game developer,master,entry,2,1,136,full-time,Canada,onsite,23,4.7,24.0,2022,Prefer not to say
Oracle,UX designer,master,mid,6,0,90,full-time,Germany,onsite,33,3.3,7.1,2016,Non-binary
Pinterest,systems analyst,bachelors,lead,17,0,48,contract,USA,onsite,39,2.5,7.0,2006,Prefer not to say
Netflix,AI researcher,master,mid,6,1,136,part-time,Canada,onsite,31,2.7,8.7,2019,Female
Dropbox,frontend developer,phd,senior,8,1,163,contract,Australia,hybrid,29,3.1,2.7,2024,Male
Qualcomm,fullstack developer,master,mid,6,1,189,contract,France,remote,32,4.6,19.7,2021,Female
Amazon,game developer,bachelors,senior,7,1,118,full-time,Singapore,remote,32,4.7,4.0,2023,Male
LinkedIn,AI researcher,master,entry,0,0,78,contract,India,remote,26,2.6,3.3,2024,Prefer not to say
Pinterest,UX designer,master,mid,6,1,139,full-time,Canada,hybrid,26,2.5,2.2,2017,Female
Google,devops engineer,bachelors,senior,7,1,178,full-time,UK,hybrid,33,3.7,16.5,2023,Prefer not to say
IBM,HR manager,master,mid,6,1,219,contract,Canada,remote,30,4.6,14.1,2022,Male
Pinterest,technical writer,phd,lead,13,1,199,part-time,France,onsite,39,4.2,23.4,2015,Female
Salesforce,product manager,master,entry,2,0,91,part-time,Germany,remote,24,4.9,4.5,2023,Female
Meta,data scientist,master,entry,2,1,137,part-time,Australia,hybrid,26,4.8,22.9,2024,Male
Airbnb,HR manager,phd,senior,7,1,250,contract,Canada,remote,33,3.5,3.7,2023,Male
Zoom,UX designer,phd,senior,12,1,224,contract,USA,remote,39,2.9,10.1,2015,Prefer not to say
Intel,QA engineer,phd,mid,5,0,97,full-time,France,remote,30,3.3,7.9,2022,Non-binary
Shopify,frontend developer,phd,entry,2,1,213,full-time,France,hybrid,27,4.3,15.1,2024,Female
Tesla,IT support,master,lead,13,0,72,part-time,UK,remote,35,3.3,5.1,2020,Male
Tesla,IT support,bachelors,entry,0,1,192,full-time,USA,hybrid,23,3.4,11.6,2021,Male
Nvidia,technical writer,master,lead,20,0,77,full-time,India,hybrid,45,2.9,8.9,2002,Male
Google,HR manager,bachelors,mid,4,0,94,part-time,USA,onsite,27,3.1,2.1,2018,Male
Spotify,business manager,phd,mid,4,0,56,part-time,Singapore,onsite,28,4.9,6.4,2021,Prefer not to say
Qualcomm,security analyst,bachelors,lead,19,0,77,contract,India,remote,40,3.8,6.6,2013,Non-binary
Pinterest,sales executive,master,entry,2,0,60,contract,UK,hybrid,26,4.1,9.5,2022,Female
Uber,mobile developer,bachelors,entry,1,0,83,part-time,Australia,onsite,23,2.6,5.0,2022,Non-binary
Intel,HR manager,phd,entry,2,0,92,part-time,India,hybrid,25,4.3,2.2,2021,Non-binary
Shopify,marketing manager,phd,mid,4,1,166,contract,Germany,onsite,26,4.7,16.4,2023,Non-binary
Square,consultant,master,lead,17,1,218,contract,France,hybrid,38,2.6,15.9,2006,Male
Atlassian,devops engineer,phd,entry,1,1,205,part-time,UK,remote,21,2.8,5.0,2023,Prefer not to say
Oracle,consultant,phd,mid,4,1,180,full-time,France,remote,24,3.6,5.2,2023,Female
Zoom,mobile developer,bachelors,mid,6,0,65,part-time,USA,hybrid,32,3.5,0.4,2021,Non-binary
Atlassian,QA engineer,phd,mid,4,0,54,full-time,UK,hybrid,29,2.8,3.8,2020,Non-binary
